20th Day 2017-2018,,,,Bilingual,,SpED,,Free/Reduced Lunch,
Network,School ID,School Name, Total , N ,%, N ,%, N ,%
 ,,District Total," 371,382 "," 67,009 ",18.0%," 50,917 ",13.7%," 288,572 ",77.7%
Network 1,610212,Albany Park Multicultural Academy, 290 , 66 ,22.8%, 52 ,17.9%, 277 ,95.5%
Network 1,610209,Alessandro Volta Elementary School, 894 , 552 ,61.7%, 89 ,10.0%, 746 ,83.5%
Network 1,609836,Arthur E Canty Elementary School, 859 , 186 ,21.7%, 93 ,10.8%, 418 ,48.7%
Network 1,609729,Carl Schurz High School," 1,739 ", 322 ,18.5%, 361 ,20.8%," 1,603 ",92.2%
Network 1,610083,Daniel C Beard Elementary School, 185 , 77 ,41.6%, 118 ,63.8%, 86 ,46.5%
Network 1,610564,Disney II Magnet High School, 711 , 13 ,1.8%, 94 ,13.2%, 429 ,60.3%
Network 1,610515,Disney II Magnet School, 432 , 49 ,11.3%, 39 ,9.0%, 134 ,31.0%
Network 1,609901,Edgebrook Elementary School, 509 , 26 ,5.1%, 48 ,9.4%, 62 ,12.2%
Network 1,610523,Edison Park Elementary School, 541 , 36 ,6.7%, 84 ,15.5%, 102 ,18.9%
Network 1,610137,Ernst Prussing Elementary School, 738 , 236 ,32.0%, 82 ,11.1%, 450 ,61.0%
Network 1,609874,Everett McKinley Dirksen Elementary School, 926 , 524 ,56.6%, 99 ,10.7%, 616 ,66.5%
Network 1,610163,Frederick Stock Elementary School, 234 , 39 ,16.7%, 92 ,39.3%, 36 ,15.4%
Network 1,609737,Friedrich W von Steuben Metropolitan Science HS," 1,726 ", 41 ,2.4%, 101 ,5.9%," 1,289 ",74.7%
Network 1,609857,Grover Cleveland Elementary School, 560 , 224 ,40.0%, 152 ,27.1%, 444 ,79.3%
Network 1,610182,Hannah G Solomon Elementary School, 349 , 127 ,36.4%, 66 ,18.9%, 174 ,49.9%
Network 1,609972,Helge A Haugan Elementary School, 906 , 588 ,64.9%, 117 ,12.9%, 786 ,86.8%
Network 1,609798,Hiram H Belding Elementary School, 580 , 126 ,21.7%, 63 ,10.9%, 332 ,57.2%
Network 1,609766,Jacqueline B Vaughn Occupational High School, 230 , 80 ,34.8%, 230 ,100.0%, 183 ,79.6%
Network 1,609912,James B Farnsworth Elementary School, 604 , 217 ,35.9%, 147 ,24.3%, 353 ,58.4%
Network 1,609796,Jean Baptiste Beaubien Elementary School," 1,100 ", 206 ,18.7%, 107 ,9.7%, 526 ,47.8%
Network 1,610089,John B Murphy Elementary School, 521 , 172 ,33.0%, 79 ,15.2%, 370 ,71.0%
Network 1,610111,John Palmer Elementary School, 806 , 304 ,37.7%, 114 ,14.1%, 604 ,74.9%
Network 1,609937,John W Garvy Elementary School, 831 , 191 ,23.0%, 101 ,12.2%, 333 ,40.1%
Network 1,610159,Jonathan Y Scammon Elementary School, 745 , 304 ,40.8%, 90 ,12.1%, 668 ,89.7%
Network 1,610127,Mary Gage Peterson Elementary School, 890 , 297 ,33.4%, 101 ,11.4%, 583 ,65.5%
Network 1,609792,Newton Bateman Elementary School," 1,008 ", 340 ,33.7%, 124 ,12.3%, 769 ,76.3%
Network 1,609810,Norman A Bridge Elementary School," 1,116 ", 317 ,28.4%, 127 ,11.4%, 696 ,62.4%
Network 1,610354,North River Elementary School, 325 , 160 ,49.2%, 75 ,23.1%, 265 ,81.5%
Network 1,609749,Northside College Preparatory High School," 1,061 ", 7 ,0.7%, 61 ,5.8%, 469 ,44.2%
Network 1,609744,Northside Learning Center High School, 230 , 76 ,33.0%, 230 ,100.0%, 194 ,84.4%
Network 1,610099,Norwood Park Elementary School, 436 , 26 ,6.0%, 55 ,12.6%, 69 ,15.8%
Network 1,610105,Oriole Park Elementary School, 751 , 63 ,8.4%, 74 ,9.9%, 183 ,24.4%
Network 1,609988,Patrick Henry Elementary School, 526 , 288 ,54.8%, 71 ,13.5%, 430 ,81.8%
Network 1,610145,Peter A Reinberg Elementary School, 802 , 330 ,41.2%, 163 ,20.3%, 606 ,75.6%
Network 1,610135,Portage Park Elementary School, 951 , 179 ,18.8%, 135 ,14.2%, 690 ,72.6%
