"","Open_Statu","School_ID","Short_Desc","Short_Name","UnitName","Address","Zip","Network","Governance","School_Typ","Grade_Cat","Grades","Grades_Sho","Boundary","BoundaryGr","BndGrShort","Lat","Long","Phone","GeoNetwork","COMMAREA","WARD","SchoolId"
"1","OPEN","400009","Academy for Global Citizenship ES","GLOBAL CITIZENSHIP","Academy for Global Citizenship Elementary School","4647 W 47TH ST","60632","Charter","Charter","Traditional","ES","K, 1, 2, 3, 4, 5, 6, 7, 8","K-8","Citywide",,,41.80757851,-87.74009744,"(773)582-1100","8","GARFIELD RIDGE","14",400009
"2","OPEN","400011","Alain Locke Charter ES","LOCKE A","Alain Locke Charter Elementary Academy","3141 W JACKSON BLVD","60612","Charter","Charter","Traditional","ES","K, 1, 2, 3, 4, 5, 6, 7, 8","K-8","Citywide",,,41.87724835,-87.70523453,"(773)265-7232","5","EAST GARFIELD PARK","28",400011
"3","OPEN","400013","ASPIRA Charter HS - Early College","ASPIRA - EARLY COLLEGE HS","ASPIRA Charter - Early College","3986 W BARRY AVE","60618","Charter","Charter","Traditional","HS","9, 10, 11, 12","9-12","Citywide",,,41.93729829,-87.72709566,"(773)252-0970","4","AVONDALE","30",400013
"4","OPEN","400017","ASPIRA Charter MS - Haugan","ASPIRA - HAUGAN","ASPIRA Charter - Haugan Campus","3729 W LELAND AVE","60625","Charter","Charter","Traditional","ES","6, 7, 8","6-8","Charter-Attendance Area School","6, 7, 8","6-8",41.96640567,-87.72182467,"(773)252-0970","1","ALBANY PARK","35",400017
"5","OPEN","400021","Catalyst ES - Circle Rock","CATALYST - CIRCLE ROCK","Catalyst Elementary School - Circle Rock","5608 W WASHINGTON BLVD","60644","Charter","Charter","Traditional","ES","K, 1, 2, 3, 4, 5, 6, 7, 8","K-8","Citywide",,,41.88232222,-87.76532198,"(773)945-5025","3","AUSTIN","29",400021
"6","OPEN","400022","Chicago HS for the Arts","CHIARTS HS","Chicago High School for the Arts","2714 W AUGUSTA BLVD","60622","Contract","Contract","Traditional","HS","9, 10, 11, 12","9-12","Citywide",,,41.89937657,-87.69494501,"(773)534-9710","5","WEST TOWN","26",400022
"7","OPEN","400023","Chicago Intl Charter ES - Avalon / South Shore","CICS - AVALON/SOUTH SHORE","Chicago Intl Charter - Avalon / South Shore","1501 E 83RD PL","60619","Charter","Charter","Traditional","ES","K, 1, 2, 3, 4, 5, 6, 7, 8","K-8","Citywide",,,41.74317942,-87.58792764,"(773)721-0858","12","AVALON PARK","8",400023
"8","OPEN","400024","Chicago Intl Charter ES - Basil","CICS - BASIL","Chicago Intl Charter - Basil","1816 W GARFIELD BLVD","60609","Charter","Charter","Traditional","ES","K, 1, 2, 3, 4, 5, 6, 7, 8","K-8","Citywide",,,41.79404286,-87.67024266,"(773)778-9455","11","NEW CITY","16",400024
"9","OPEN","400025","Chicago Intl Charter ES - Bucktown","CICS - BUCKTOWN","Chicago Intl Charter - Bucktown","2235 N HAMILTON AVE","60647","Charter","Charter","Traditional","ES","K, 1, 2, 3, 4, 5, 6, 7, 8","K-8","Citywide",,,41.92241463,-87.68135796,"(773)645-3321","6","LOGAN SQUARE","32",400025
"10","OPEN","400026","Chicago Intl Charter ES - Loomis","CICS - LOOMIS","Chicago Intl Charter - Loomis Primary","9535 S LOOMIS ST","60643","Charter","Charter","Traditional","ES","K, 1, 2","K-2","Citywide",,,41.72024642,-87.65756106,"(773)429-8955","11","WASHINGTON HEIGHTS","21",400026
"11","OPEN","400027","Chicago Intl Charter ES - Irving Park","CICS - IRVING PARK","Chicago Intl Charter - Irving Park","3820 N SPAULDING AVE","60618","Charter","Charter","Traditional","ES","K, 1, 2, 3, 4, 5, 6, 7, 8","K-8","Citywide",,,41.95089128,-87.71049243,"(773)433-5000","1","IRVING PARK","33",400027
"12","OPEN","400028","Chicago Intl Charter ES - Prairie","CICS - PRAIRIE","Chicago Intl Charter - Prairie","11530 S PRAIRIE AVE","60628","Charter","Charter","Traditional","ES","K, 1, 2, 3, 4, 5, 6, 7, 8","K-8","Citywide",,,41.68443304,-87.61688838,"(773)928-0480","13","WEST PULLMAN","9",400028
"13","OPEN","400029","Chicago Intl Charter ES - Washington Park","CICS - WASHINGTON PARK","Chicago Intl Charter - Washington Park","110 E 61ST ST","60637","Charter","Charter","Traditional","ES","K, 1, 2, 3, 4, 5, 6, 7, 8","K-8","Citywide",,,41.7841264,-87.62126075,"(773)347-0200","9","WASHINGTON PARK","20",400029
"14","OPEN","400030","Chicago Intl Charter ES - West Belden","CICS - WEST BELDEN","Chicago Intl Charter - West Belden","2245 N MCVICKER AVE","60639","Charter","Charter","Traditional","ES","K, 1, 2, 3, 4, 5, 6, 7, 8","K-8","Citywide",,,41.9216875,-87.77674854,"(773)637-9430","3","BELMONT CRAGIN","36",400030
"15","OPEN","400031","Chicago Intl Charter ES - Wrightwood","CICS - WRIGHTWOOD","Chicago Intl Charter - Wrightwood","8130 S CALIFORNIA AVE","60652","Charter","Charter","Traditional","ES","K, 1, 2, 3, 4, 5, 6, 7, 8","K-8","Charter-Attendance Area School","K, 1, 2, 3, 4, 5, 6, 7, 8","K-8",41.74536545,-87.6926144,"(773)434-4575","10","ASHBURN","18",400031
"16","OPEN","400032","Chicago Intl Charter HS - Ellison","CICS - ELLISON HS","Chicago Intl Charter - Ralph Ellison","1817 W 80TH ST","60620","Charter","Charter","Traditional","HS","9, 10, 11, 12","9-12","Charter-Attendance Area School","9, 10, 11, 12","9-12",41.74838241,-87.66897964,"(773)478-4434","11","AUBURN GRESHAM","17",400032
"17","OPEN","400033","Chicago Intl Charter HS - Longwood","CICS - LONGWOOD","Chicago Intl Charter - Longwood","1309 W 95TH ST","60643","Charter","Charter","Traditional","HS","3, 4, 5, 6, 7, 8, 9, 10, 11, 12","3-12","Citywide",,,41.72122143,-87.65576813,"(773)238-5330","11","WASHINGTON HEIGHTS","21",400033
"18","OPEN","400034","Chicago Intl Charter HS - Northtown","CICS - NORTHTOWN HS","Chicago Intl Charter - Northtown","3900 W PETERSON AVE","60659","Charter","Charter","Traditional","HS","9, 10, 11, 12","9-12","Charter-Attendance Area School","9, 10, 11, 12","9-12",41.99024501,-87.72650426,"(773)478-3655","1","NORTH PARK","39",400034
"19","OPEN","400035","Chicago Math and Science Academy HS","CHICAGO MATH & SCIENCE HS","Chicago Math and Science Academy High School","7212 N CLARK ST","60626","Charter","Charter","Traditional","HS","6, 7, 8, 9, 10, 11, 12","6-12","Citywide",,,42.01303149,-87.67481842,"(773)761-8960","2","ROGERS PARK","49",400035
"20","OPEN","400036","Chicago Virtual Charter HS","CHICAGO VIRTUAL","Chicago Virtual Charter High School","38 S PEORIA ST","60607","Charter","Charter","Traditional","HS","K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12","K-12","Citywide",,,41.88055011,-87.64977248,"(312)267-4486","6","NEAR WEST SIDE","25",400036
"21","OPEN","400039","Erie Charter ES","ERIE","Erie Elementary Charter School","1405 N WASHTENAW AVE","60622","Charter","Charter","Traditional","ES","K, 1, 2, 3, 4, 5, 6, 7, 8","K-8","Citywide",,,41.90677064,-87.69436445,"(773)486-7161","5","WEST TOWN","1",400039
"22","OPEN","400040","Frazier Preparatory Academy","FRAZIER CHARTER","Frazier Preparatory Academy Elementary School","3711 W DOUGLAS BLVD","60624","Charter","Charter","Traditional","ES","K, 1, 2, 3, 4, 5, 6, 7, 8","K-8","Citywide",,,41.86207686,-87.71764198,"(773)521-1303","5","NORTH LAWNDALE","24",400040
"23","OPEN","400043","Hope Learning Academy","HOPE LEARNING ACADEMY","Hope Institute Learning Academy","1628 W WASHINGTON","60612","Contract","Contract","Traditional","ES","K, 1, 2, 3, 4, 5","K-5","Citywide",,,41.88336203,-87.66807695,"(773)534-7405","6","NEAR WEST SIDE","27",400043
"24","OPEN","400044","KIPP Ascend Charter School","KIPP - ASCEND","KIPP Ascend Academy Charter Elementary School","1616 S AVERS AVE","60623","Charter","Charter","Traditional","ES","K, 1, 2, 3, 4, 5, 6, 7, 8","K-8","Citywide",,,41.85836974,-87.72107065,"(773)521-4399","5","NORTH LAWNDALE","24",400044
